decision_id,title,agenda_no,meeting_type,decision_type,decision_date,detail_url
8877,「물순환 촉진 및 지원에 관한 법률 시행령」제정안에 대한 개인정보 침해요인 평가에 관한 건,제2024-213-463호,제 2 소 위 원 회,심의ㆍ의결,2024-06-26,/DRF/lawService.do?OC=byoungpil.kim&target=ppc&ID=8877&type=HTML&mobileYn=
8783,「감염병의 예방 및 관리에 관한 법률 시행규칙」일부개정안에 대한 개인정보 침해요인 평가에 관한 건,제2024-213-470호,제 2 소 위 원 회,심의ㆍ의결,2024-06-26,/DRF/lawService.do?OC=byoungpil.kim&target=ppc&ID=8783&type=HTML&mobileYn=
8773,「국가첨단전략산업 경쟁력 강화 및 보호에 관한 특별조치법 시행규칙」일부개정안에 대한 개인정보 침해요인 평가에 관한 건,제2024-213-462호,제 2 소 위 원 회,심의ㆍ의결,2024-06-26,/DRF/lawService.do?OC=byoungpil.kim&target=ppc&ID=8773&type=HTML&mobileYn=
6849,「경비업법 시행규칙」 일부개정안에 대한 개인정보 침해요인 평가에 관한 건,제2024-213-450호,제 2 소 위 원 회,심의ㆍ의결,2024-06-26,/DRF/lawService.do?OC=byoungpil.kim&target=ppc&ID=6849&type=HTML&mobileYn=
6867,「초ㆍ중등교육법 시행규칙」일부개정안에 대한 개인정보 침해요인 평가에 관한 건,제2024-213-459호,제 2 소 위 원 회,심의ㆍ의결,2024-06-26,/DRF/lawService.do?OC=byoungpil.kim&target=ppc&ID=6867&type=HTML&mobileYn=
6905,「물순환 촉진 및 지원에 관한 법률 시행령」제정안에 대한 개인정보 침해요인 평가에 관한 건,제2024-213-463호,제 2 소 위 원 회,심의ㆍ의결,2024-06-26,/DRF/lawService.do?OC=byoungpil.kim&target=ppc&ID=6905&type=HTML&mobileYn=
8823,「관광진흥법 시행규칙」 일부개정안에 대한 개인정보 침해요인 평가에 관한 건,제2024-213-454호,제 2 소 위 원 회,심의ㆍ의결,2024-06-26,/DRF/lawService.do?OC=byoungpil.kim&target=ppc&ID=8823&type=HTML&mobileYn=
8879,「공간정보의 구축 및 관리 등에 관한 법률 시행령」일부개정안에 대한 개인정보 침해요인 평가에 관한 건,제2024-213-464호,제 2 소 위 원 회,심의ㆍ의결,2024-06-26,/DRF/lawService.do?OC=byoungpil.kim&target=ppc&ID=8879&type=HTML&mobileYn=
8769,「국가인권위원회법」일부개정안에 대한 개인정보 침해요인 평가에 관한 건,제2024-213-440호,제 2 소 위 원 회,심의ㆍ의결,2024-06-26,/DRF/lawService.do?OC=byoungpil.kim&target=ppc&ID=8769&type=HTML&mobileYn=
8829,「경비업법 시행령」 일부개정안에 대한 개인정보 침해요인 평가에 관한 건,제2024-213-449호,제 2 소 위 원 회,심의ㆍ의결,2024-06-26,/DRF/lawService.do?OC=byoungpil.kim&target=ppc&ID=8829&type=HTML&mobileYn=
